"REF_DATE","GEO","DGUID","Rental unit type","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-07","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424962","1.2.1","1200","","","","0"
"2024-10","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424962","1.2.1","1230","","","","0"
"2025-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424962","1.2.1","1210","","","","0"
"2025-04","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424962","1.2.1","","F","","","0"
"2025-07","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424962","1.2.1","1270","","","","0"
"2024-07","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424963","1.3.1","1690","E","","","0"
"2024-10","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424963","1.3.1","1740","E","","","0"
"2025-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424963","1.3.1","1630","","","","0"
"2025-04","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424963","1.3.1","","F","","","0"
"2025-07","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424963","1.3.1","1450","E","","","0"
"2024-07","St. John's, Census metropolitan area (CMA)","2021S0503001","Room","Average asking rent","Dollars","81","units","0","v1675424965","1.5.1","660","","","","0"
"2024-10","St. John's, Census metropolitan area (CMA)","2021S0503001","Room","Average asking rent","Dollars","81","units","0","v1675424965","1.5.1","660","","","","0"
"2025-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Room","Average asking rent","Dollars","81","units","0","v1675424965","1.5.1","670","","","","0"
"2025-04","St. John's, Census metropolitan area (CMA)","2021S0503001","Room","Average asking rent","Dollars","81","units","0","v1675424965","1.5.1","690","E","","","0"
"2025-07","St. John's, Census metropolitan area (CMA)","2021S0503001","Room","Average asking rent","Dollars","81","units","0","v1675424965","1.5.1","700","","","","0"
"2024-07","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424967","2.2.1","1880","","","","0"
"2024-10","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424967","2.2.1","1780","","","","0"
"2025-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424967","2.2.1","1770","","","","0"
"2025-04","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424967","2.2.1","1800","E","","","0"
"2025-07","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424967","2.2.1","1840","","","","0"
"2024-07","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424968","2.3.1","2390","","","","0"
"2024-10","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424968","2.3.1","2230","","","","0"
"2025-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424968","2.3.1","2230","","","","0"
"2025-04","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424968","2.3.1","2280","E","","","0"
"2025-07","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424968","2.3.1","2310","","","","0"
"2024-07","Halifax, Census metropolitan area (CMA)","2021S0503205","Room","Average asking rent","Dollars","81","units","0","v1675424970","2.5.1","870","","","","0"
"2024-10","Halifax, Census metropolitan area (CMA)","2021S0503205","Room","Average asking rent","Dollars","81","units","0","v1675424970","2.5.1","840","","","","0"
"2025-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Room","Average asking rent","Dollars","81","units","0","v1675424970","2.5.1","840","","","","0"
"2025-04","Halifax, Census metropolitan area (CMA)","2021S0503205","Room","Average asking rent","Dollars","81","units","0","v1675424970","2.5.1","860","E","","","0"
"2025-07","Halifax, Census metropolitan area (CMA)","2021S0503205","Room","Average asking rent","Dollars","81","units","0","v1675424970","2.5.1","880","","","","0"
"2024-07","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424987","3.2.1","1280","","","","0"
"2024-10","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424987","3.2.1","1390","E","","","0"
"2025-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424987","3.2.1","1320","","","","0"
"2025-04","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424987","3.2.1","1360","E","","","0"
"2025-07","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424987","3.2.1","1390","","","","0"
"2024-07","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424988","3.3.1","1580","","","","0"
"2024-10","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424988","3.3.1","1610","","","","0"
